,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Lpar6,3.79807073062444e-175,1.7524167089727,0.158,0.055,1.90017478653141e-171,0.103
Nfatc1,9.88131291682493e-324,2.41612975011892,0.128,0.026,4.94362085228751e-320,0.102
Cd84,1.92830865385447e-201,1.83251981766947,0.144,0.043,9.64732819523393e-198,0.101
Pik3cd,0,3.08148303826685,0.114,0.014,0,0.1
Sept9,5.63181652992494e-156,1.61372899707749,0.154,0.055,2.81759780992145e-152,0.099
Actr2,7.36582965446909e-55,0.648428800506371,0.38,0.282,3.68512457613089e-51,0.098
Tgfb1,2.83001167111527e-189,1.77678386586506,0.14,0.043,1.41585483905897e-185,0.097
Cd96,0,4.68190491709775,0.101,0.004,0,0.097
Prkcq,0,3.25031322304023,0.106,0.01,0,0.096
Zdhhc18,6.80949965236074e-173,1.76106544037708,0.142,0.046,3.40679267607608e-169,0.096
Fam107b,3.19127713255462e-67,0.846074513724346,0.236,0.14,1.59659594941708e-63,0.096
B4galnt1,4.19919506350012e-64,0.837575020136142,0.249,0.154,2.10085729026911e-60,0.095
Kif21b,1.0073539742769e-155,1.65470105738596,0.145,0.051,5.03979193330735e-152,0.094
Rsrp1,6.51366472664878e-44,0.514587683883292,0.432,0.339,3.25878646274239e-40,0.093
Vav1,2.95819682581134e-302,2.33433647965874,0.115,0.023,1.47998587195341e-298,0.092
Inpp5d,1.09269080159902e-262,2.22035770512054,0.115,0.025,5.4667320803999e-259,0.09
Aebp2,2.13426876355536e-107,1.35726093933788,0.155,0.066,1.06777466240675e-103,0.089
Tgfbr2,1.8649301833374e-45,0.56782256002104,0.265,0.177,9.33024570723701e-42,0.088
Rnaset2a,1.41992960777551e-44,0.5999886938843,0.391,0.303,7.10390782770088e-41,0.088
Runx3,0,3.11493857392055,0.1,0.012,0,0.088
Jak3,3.5636798251157e-206,2.01949142652444,0.12,0.032,1.78290901650539e-202,0.088
Nfkb1,7.25481203537928e-71,1.02674456825721,0.192,0.105,3.62958246130025e-67,0.087
Nfatc3,3.62005796309125e-85,1.20439970476635,0.157,0.074,1.81111499893455e-81,0.083
Odc1,7.5168083083158e-53,1.0062275223662,0.244,0.161,3.76065919665039e-49,0.083
Diaph1,6.55046777324554e-45,0.680442974063968,0.247,0.165,3.27719902695474e-41,0.082
Mllt6,4.34215088940731e-88,1.22360245806901,0.148,0.067,2.17237808997047e-84,0.081
Map4k4,3.04658309505823e-73,1.05073497271434,0.162,0.082,1.52420552245763e-69,0.08
Ptk2b,5.37609191472809e-96,1.33987739238082,0.137,0.058,2.68965878493846e-92,0.079
Maf,2.7306732306001e-60,0.864920153849057,0.178,0.099,1.36615581726923e-56,0.079
Cxcr4,1.77489305393058e-204,2.09222055846439,0.101,0.024,8.87978994881468e-201,0.077
Vsir,8.13242571827066e-132,1.65376232608267,0.115,0.038,4.06865258685081e-128,0.077
Gnai2,2.38272820086845e-35,0.598332321085802,0.274,0.198,1.19207891889448e-31,0.076
Itpr2,1.22273668039522e-120,1.6181990522329,0.113,0.039,6.11735161201728e-117,0.074
Tnfrsf1b,1.26276893341912e-107,1.54440840773874,0.118,0.045,6.31763297389586e-104,0.073
Rbpj,1.20187948296542e-68,1.17620572657995,0.145,0.072,6.01300305327598e-65,0.073
Lmo4,1.25275793906817e-55,1.21594754410721,0.172,0.099,6.26754796915808e-52,0.073
Mknk2,4.70751804540018e-39,0.698180478857029,0.211,0.139,2.35517127811371e-35,0.072
Mbd2,8.28665900755399e-32,0.578624102660086,0.29,0.218,4.14581550147926e-28,0.072
Mta3,2.85086405320119e-68,1.14056991862482,0.137,0.067,1.42628728581656e-64,0.07
Aif1,1.18347051366182e-75,1.16451868709502,0.124,0.055,5.92090297985007e-72,0.069
Itpkb,3.86126328699172e-122,1.66488036036564,0.103,0.034,1.93179002248196e-118,0.069
Tpr,4.77468979175029e-38,0.721426246345386,0.205,0.136,2.38877730281267e-34,0.069
Igha,8.09309000107075e-32,-1.13667612837749,0.208,0.139,4.04897292753569e-28,0.069
Sfpq,4.30064167129548e-27,0.48598436420211,0.303,0.235,2.15161102814913e-23,0.068
Smap2,3.55396859175816e-78,1.31698018119632,0.118,0.051,1.77805048645661e-74,0.067
Prkacb,7.91911207214698e-68,1.11344012260801,0.127,0.06,3.96193176969513e-64,0.067
Kmt2a,7.35641698496018e-61,1.10290485196798,0.136,0.069,3.68041541757558e-57,0.067
Cbfb,5.08398578710731e-58,1.06210655766082,0.135,0.069,2.54351808928979e-54,0.066
H2afy,3.32978900520108e-39,0.774849129632103,0.177,0.111,1.6658934393021e-35,0.066
Runx1,1.19937020659537e-82,1.35317533980653,0.109,0.044,6.00044914359665e-79,0.065
Hif1a,6.97351755965089e-48,0.986177571443947,0.152,0.087,3.48885083509334e-44,0.065
Cbx3,2.28251558962319e-25,0.484068749270658,0.257,0.193,1.14194254948848e-21,0.064
Hnrnpm,1.29150448690437e-24,0.504286074897689,0.268,0.205,6.46139694798257e-21,0.063
Ppm1h,8.89488445948834e-69,1.28377581222996,0.114,0.051,4.45011069508202e-65,0.063
Pkn1,3.46648566218927e-39,0.824476955352895,0.154,0.093,1.73428277679329e-35,0.061
Snx5,3.0858339318664e-25,0.553885310509902,0.243,0.182,1.54384271611276e-21,0.061
Cd82,2.48056878250072e-43,0.938988279642703,0.145,0.084,1.24102856188511e-39,0.061
Cxcl16,5.60850590895782e-33,0.690245704092243,0.164,0.105,2.8059355062516e-29,0.059
Ptpn1,1.2978497317616e-59,1.17946513869319,0.111,0.052,6.4931422080033e-56,0.059
Mycbp2,2.93639194425915e-59,1.17317287475642,0.113,0.054,1.46907688971285e-55,0.059
Cdkn1b,1.20939799842216e-23,0.549528863388969,0.253,0.194,6.05061818610607e-20,0.059
Cbl,2.4456771526968e-40,0.920132744473255,0.137,0.079,1.22357227949421e-36,0.058
Furin,4.89514067903615e-33,0.866544804056412,0.165,0.107,2.44903888172179e-29,0.058
Kmt2d,2.21720985612712e-29,0.683831454352294,0.177,0.119,1.1092700910204e-25,0.058
Top2b,1.50862832602421e-30,0.73425262124347,0.161,0.105,7.54766751509914e-27,0.056
Khdrbs1,1.20678749484519e-29,0.708596400788504,0.163,0.107,6.03755783671051e-26,0.056
Mta2,9.71308019926616e-27,0.642022744333865,0.181,0.125,4.85945402369286e-23,0.056
Epb41,4.0608058410176e-33,0.86589826579299,0.137,0.084,2.03162116226111e-29,0.053
Pitpnm1,9.37100119950396e-50,1.12640639573825,0.105,0.052,4.68831190011183e-46,0.053
Adamdec1,9.26973717062495e-07,-0.786542377674338,0.249,0.197,0.00463764950646366,0.052
Sept11,2.4453474298562e-32,0.811567302885496,0.131,0.08,1.22340731915706e-28,0.051
Gtf2i,3.46254177423299e-30,0.79156713910418,0.135,0.084,1.73230964964876e-26,0.051
Hist2h2bb,1.05631844541487e-21,0.460391164862576,0.165,0.114,5.28476118241058e-18,0.051
Dek,8.25597138005247e-26,0.641788181826533,0.15,0.099,4.13046248144025e-22,0.051
Sf1,2.72370416981637e-17,0.483969181162346,0.23,0.18,1.36266919615913e-13,0.05
Tln1,3.24325276598991e-31,0.827334530554018,0.122,0.073,1.62259935882475e-27,0.049
Iqgap1,7.13899644198328e-20,0.554036549137613,0.167,0.119,3.57163991992424e-16,0.048
Ctcf,1.41616304168642e-27,0.766872330241183,0.128,0.081,7.08506369755717e-24,0.047
Sorl1,6.29296509841539e-21,0.604823363375314,0.16,0.113,3.14837043873722e-17,0.047
Mcl1,4.57063922922213e-16,0.46492655463398,0.246,0.199,2.28669080637983e-12,0.047
