,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Gm2a,0,3.6737498839351,0.614,0.089,0,0.525
Ptprc,0,3.31597803474376,0.499,0.057,0,0.442
Cd53,0,3.20467089013022,0.396,0.046,0,0.35
Fam49b,0,2.48236616867271,0.428,0.094,0,0.334
Ciita,0,3.70769475019489,0.358,0.034,0,0.324
Cxcl16,0,2.37867947463029,0.402,0.102,0,0.3
Msn,0,2.05439324509098,0.404,0.106,0,0.298
Dock2,0,3.20764773660406,0.32,0.036,0,0.284
Itga4,0,3.08067815394248,0.325,0.042,0,0.283
Cd68,0,2.62028112451624,0.335,0.056,0,0.279
Marcks,0,1.61172558532431,0.458,0.18,0,0.278
Samhd1,0,2.15896893353729,0.388,0.11,0,0.278
Id2,0,2.98520960479769,0.314,0.048,0,0.266
Ighm,0,2.48796548028077,0.3,0.042,0,0.258
Spi1,0,3.68487054445345,0.28,0.024,0,0.256
Aif1,0,2.64032239130336,0.305,0.052,0,0.253
Unc93b1,0,2.40947707817809,0.317,0.065,0,0.252
Itgb2,0,3.17583575095779,0.283,0.032,0,0.251
Selplg,0,3.3490496817091,0.276,0.028,0,0.248
Il10ra,0,3.47090459089824,0.271,0.026,0,0.245
Ppt1,0,2.4948573782907,0.376,0.134,0,0.242
Arrb2,0,2.80518960928833,0.281,0.044,0,0.237
Irf5,0,3.57049963197022,0.249,0.023,0,0.226
H2-DMb2,0,4.01249075807068,0.239,0.015,0,0.224
Syk,0,2.06217927737899,0.308,0.084,0,0.224
Csf1r,0,2.44292074772045,0.273,0.051,0,0.222
Sema4d,0,2.8225104960868,0.262,0.04,0,0.222
Csf2rb,0,4.03820674613459,0.235,0.016,0,0.219
Lyn,0,2.4260846482526,0.274,0.056,0,0.218
Bcl2a1a,0,3.79637907100899,0.237,0.021,0,0.216
Grk2,0,1.41016273049291,0.374,0.159,0,0.215
Ncf1,0,3.29369000954502,0.24,0.026,0,0.214
Rbpj,0,2.14016414362873,0.278,0.07,0,0.208
Fcgr3,0,2.3321916069486,0.263,0.057,0,0.206
Sirpa,0,2.41360018261923,0.256,0.051,0,0.205
Tap1,0,2.26609790853394,0.265,0.061,0,0.204
Cybb,0,2.88960010022477,0.239,0.035,0,0.204
Grn,0,1.25331028210852,0.384,0.181,0,0.203
Apobec3,0,2.24669632574264,0.259,0.058,0,0.201
Naaa,0,3.57442498487089,0.23,0.029,0,0.201
Tgfb1,0,2.60416525587536,0.238,0.041,0,0.197
Ccr5,0,3.3659628734262,0.22,0.025,0,0.195
Cd48,0,3.07836979150514,0.218,0.026,0,0.192
Gnai2,0,1.12300981596709,0.387,0.196,0,0.191
Irf8,0,2.19204039335092,0.297,0.106,0,0.191
Ikzf1,0,3.14625088926771,0.215,0.025,0,0.19
Itgb7,0,3.27533067290377,0.211,0.022,0,0.189
Actr2,8.95596440053791e-288,0.94821329961256,0.469,0.28,4.48066898958912e-284,0.189
Ccr2,0,3.63295829247906,0.207,0.02,0,0.187
Ly86,0,2.92738835437714,0.215,0.029,0,0.186
Mbnl1,0,1.11015288464856,0.378,0.192,0,0.186
Pirb,0,3.40552405573377,0.204,0.02,0,0.184
Jak2,0,1.81095548031444,0.283,0.1,0,0.183
Sh3bp1,0,3.32479532687312,0.201,0.021,0,0.18
Il2rg,0,2.8557023641982,0.206,0.03,0,0.176
Adgre5,0,2.11236521874455,0.231,0.058,0,0.173
Lcp2,0,2.83882053666927,0.201,0.029,0,0.172
Inpp5d,0,3.07640427041251,0.195,0.024,0,0.171
Rab43,0,1.7478635790948,0.271,0.1,0,0.171
Fcgr2b,0,2.56927673610479,0.206,0.038,0,0.168
Ccr1,0,2.90220469116951,0.194,0.027,0,0.167
Stat1,0,1.80227756783431,0.245,0.079,0,0.166
Myh9,2.30785921646167e-205,0.794967858842962,0.455,0.291,1.15462196599577e-201,0.164
Mcl1,4.61323966556759e-257,1.06239643934136,0.361,0.197,2.30800380468347e-253,0.164
Itgae,0,4.21606624987283,0.172,0.01,0,0.162
Rab8b,0,2.32029343289722,0.204,0.043,0,0.161
Nfkb1,0,1.52040026507963,0.263,0.104,0,0.159
Cyfip2,0,2.57905999777168,0.19,0.033,0,0.157
Jaml,0,3.42622470447123,0.173,0.016,0,0.157
H2afz,3.53860882905408e-267,1.17945063829753,0.315,0.159,1.77036599717576e-263,0.156
Snx5,4.97434271635942e-238,1.04521537275662,0.336,0.181,2.48866366099462e-234,0.155
Cd83,0,3.50734860804799,0.171,0.02,0,0.151
Ptpn1,0,2.09565474987098,0.2,0.051,0,0.149
Batf3,0,3.61324527886113,0.163,0.014,0,0.149
Rab32,0,2.01323361601345,0.203,0.055,0,0.148
Fgr,0,3.94584700535712,0.159,0.011,0,0.148
Ncf4,0,3.34661000363358,0.163,0.016,0,0.147
Ifngr1,1.63739774113564e-209,0.994116639932272,0.343,0.196,8.19190089890163e-206,0.147
Elmo1,0,1.60556465079333,0.227,0.081,0,0.146
Tsc22d3,7.99419495838818e-257,1.14061265778602,0.28,0.134,3.99949573768161e-253,0.146
Anxa6,0,1.32720240866597,0.242,0.096,0,0.146
Notch2,0,2.12634884150674,0.188,0.045,0,0.143
Pkib,0,3.43099223410021,0.158,0.015,0,0.143
Evl,0,2.42313152268831,0.177,0.034,0,0.143
Pltp,0,1.69088855760331,0.226,0.085,0,0.141
H2afy,2.64456884294347e-284,1.31497963402603,0.25,0.11,1.32307779212462e-280,0.14
Hck,0,2.86275534010983,0.158,0.019,0,0.139
Cbl,0,1.55629318977103,0.216,0.078,0,0.138
Vav1,0,2.83221048162591,0.159,0.022,0,0.137
Havcr2,0,4.07135924239311,0.146,0.009,0,0.137
Lyst,0,2.39039619483978,0.169,0.034,0,0.135
Fcgr4,0,2.49463023764684,0.167,0.033,0,0.134
Flt3,0,5.18939713589822,0.138,0.004,0,0.134
Dock8,0,2.55282692132119,0.161,0.028,0,0.133
Cd72,0,2.84431865544377,0.152,0.022,0,0.13
Hexa,2.05047149890839e-179,0.965946729059164,0.289,0.16,1.02585089090387e-175,0.129
Baz1a,0,1.94002253224127,0.178,0.05,0,0.128
Il21r,0,3.35429174604413,0.143,0.015,0,0.128
Itgam,0,2.93959581023287,0.149,0.021,0,0.128
Arhgef1,2.37273025031511e-301,1.45338967175901,0.207,0.08,1.18707694423265e-297,0.127
Fcgr1,0,2.7053139237386,0.153,0.027,0,0.126
Igkc,1.20378655531759e-191,-0.931352172667991,0.239,0.113,6.02254413625391e-188,0.126
Cd86,0,4.03888869907409,0.134,0.009,0,0.125
Grb2,1.95978111413767e-251,1.27601061403957,0.219,0.094,9.80478491403079e-248,0.125
Cd47,8.03502642049436e-195,1.03985085673126,0.251,0.127,4.01992371817333e-191,0.124
Fyn,0,2.11098561996762,0.161,0.038,0,0.123
Hnrnpa1,1.29296553592483e-86,0.400246288183864,0.472,0.351,6.46870657623191e-83,0.121
Nfkbie,0,3.0928899204655,0.137,0.017,0,0.12
Csf2rb2,0,3.29730166480671,0.132,0.013,0,0.119
Runx1,0,1.99162786695971,0.162,0.043,0,0.119
Itgax,0,4.01006569361817,0.127,0.008,0,0.119
Icam1,0,2.44589223118641,0.145,0.027,0,0.118
Lfng,0,2.32547561071592,0.147,0.029,0,0.118
Ccnd3,3.6729871545255e-229,1.25869448246491,0.211,0.093,1.83759547340911e-225,0.118
Cxcr4,0,2.60702978676126,0.14,0.023,0,0.117
Rhoa,2.46209872178975e-111,0.65391407352063,0.363,0.246,1.23178799051141e-107,0.117
Sdcbp,1.07869304016291e-111,0.678844002071596,0.377,0.261,5.39670127993502e-108,0.116
Runx3,0,3.45379371209547,0.126,0.012,0,0.114
Fli1,0,2.26620170450529,0.144,0.03,0,0.114
Cbfb,1.12129935042244e-282,1.48327278734253,0.182,0.068,5.60986065016345e-279,0.114
Ifi209,0,3.30200539389811,0.126,0.013,0,0.113
Rassf5,0,2.84880579016944,0.131,0.018,0,0.113
Slc9a9,0,2.35157472816561,0.14,0.028,0,0.112
Il4ra,5.1093123167146e-243,1.38903729823364,0.19,0.078,2.55618895205231e-239,0.112
Zeb2,2.77368747036094e-300,1.55951699797472,0.17,0.059,1.38767584142158e-296,0.111
Map4k4,2.60339805090481e-231,1.43462357369615,0.192,0.081,1.30248004486768e-227,0.111
Hspa5,6.48639139906592e-80,0.431813534771643,0.482,0.371,3.24514161695268e-76,0.111
Pdia3,3.05419991478706e-88,0.446694255061359,0.544,0.434,1.52801621736797e-84,0.11
Cd244a,0,3.72722994148191,0.119,0.009,0,0.11
Vsir,0,2.02298467889913,0.148,0.038,0,0.11
Grk3,0,2.68699532741645,0.129,0.02,0,0.109
