,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Marcksl1,3.84962578118867e-43,1.96553889244808,0.26,0.094,1.92596777832869e-39,0.166
Pkm,1.31741118019682e-28,1.40723148469234,0.431,0.267,6.5910081345247e-25,0.164
Fcgr4,2.58935667787019e-93,2.75703290442578,0.197,0.035,1.29545514593845e-89,0.162
Il1a,0,6.67854993054012,0.163,0.002,0,0.161
Mapkapk2,7.40368552927848e-40,1.89950768955413,0.258,0.097,3.70406387029802e-36,0.161
Itgal,3.12450754460602e-138,3.44892784729147,0.182,0.022,1.56319112456639e-134,0.16
Il1rap,6.5783854661033e-263,4.30450384397968,0.172,0.012,3.29116624869148e-259,0.16
Gadd45a,1.88524251063186e-77,2.78735388112251,0.197,0.04,9.43186828069118e-74,0.157
Gk,6.30381168338626e-60,2.31962248828308,0.21,0.053,3.15379698519815e-56,0.157
Kdm6b,7.92007564793821e-51,2.37873643092353,0.221,0.065,3.96241384666349e-47,0.156
Pirb,1.41488398315927e-130,3.30214464036042,0.176,0.022,7.07866456774585e-127,0.154
Lamp2,6.93355722924013e-29,1.55655013496161,0.287,0.134,3.46885868178883e-25,0.153
Rhog,3.10891454271205e-65,2.49380666395177,0.184,0.04,1.55538994571884e-61,0.144
Igha,8.26285680799034e-22,-0.208468308230514,0.283,0.14,4.13390726103757e-18,0.143
Dusp5,1.63591148118887e-142,3.76049962705805,0.157,0.017,8.18446514038789e-139,0.14
Adgre5,5.53062605491456e-44,2.22271452095078,0.2,0.06,2.76697221527375e-40,0.14
Tnfaip3,2.40120299348202e-72,3.17586232256297,0.174,0.034,1.20132185763906e-68,0.14
Kdm7a,3.06707152109523e-44,2.30477907828347,0.193,0.057,1.53445588200394e-40,0.136
Gyg,4.14720545267532e-53,2.63659836783744,0.174,0.043,2.07484688797346e-49,0.131
Rab7,7.63190986359934e-20,1.34496671124847,0.346,0.215,3.81824450475875e-16,0.131
Atxn10,3.79335200166793e-48,2.52339237714131,0.176,0.046,1.89781400643446e-44,0.13
Atg3,3.05973648057095e-45,2.47547459267752,0.18,0.05,1.53078616122964e-41,0.13
Olr1,0,6.40871126207775,0.131,0.003,0,0.128
Tiparp,6.60961332616327e-70,3.06731812638438,0.157,0.029,3.30678954707948e-66,0.128
Il13ra1,1.04474869272738e-20,1.4747727074454,0.268,0.14,5.22687770971507e-17,0.128
Csf2rb2,6.15359800552219e-124,3.68836379995441,0.139,0.015,3.07864508216275e-120,0.124
Fosl2,2.77064317690495e-23,1.67567291594285,0.23,0.106,1.38615278140554e-19,0.124
Isg20,1.29364300342772e-67,2.95644229510103,0.152,0.028,6.47209594614888e-64,0.124
Padi4,0,6.32267928649536,0.125,0.002,0,0.123
Slc2a1,4.03890026093628e-27,1.69678419560785,0.191,0.073,2.02066180054642e-23,0.118
Gnai2,2.22151203553562e-16,1.28364451143967,0.315,0.199,1.11142247137847e-12,0.116
Nampt,1.15026501810275e-33,2.33463832587959,0.169,0.054,5.75477588556806e-30,0.115
Nup98,8.99134674251305e-27,2.0030852057919,0.185,0.071,4.49837077527928e-23,0.114
Homer1,2.20272760238717e-55,2.84697331026889,0.144,0.03,1.1020246194743e-51,0.114
Slc11a1,1.5819382405075e-84,3.27367360328699,0.131,0.018,7.91443701725903e-81,0.113
Iqgap1,1.91764205986747e-17,1.4039917884346,0.232,0.12,9.59396322551697e-14,0.112
Diaph1,5.54879815468894e-15,1.17030054012776,0.277,0.165,2.77606371679088e-11,0.112
Tnfrsf1b,4.0387241841276e-37,2.23061959252782,0.157,0.045,2.02057370931904e-33,0.112
Il18rap,5.40791092120498e-248,4.74720915970456,0.118,0.006,2.70557783387885e-244,0.112
Cd68,6.22831563009611e-27,1.70603036455408,0.169,0.06,3.11602630973708e-23,0.109
Cd244a,6.86514970696412e-130,3.88043588081291,0.118,0.011,3.43463439839415e-126,0.107
Rnf144a,7.24271646480273e-79,3.24780865479123,0.124,0.017,3.62353104734081e-75,0.107
Cxcr4,3.5362481777177e-57,2.81175372205691,0.131,0.025,1.76918496331216e-53,0.106
Nfe2l2,1.81304081750723e-14,1.30812650833517,0.262,0.157,9.07064320998869e-11,0.105
Rbms1,1.44472246760014e-21,1.58714321545358,0.172,0.069,7.22794650540352e-18,0.103
Cd300lb,0,5.39000745863389,0.105,0.003,0,0.102
Cd84,2.84427376663757e-31,2.15416380264406,0.146,0.044,1.42299016544877e-27,0.102
Myd88,7.65989168440404e-25,2.01745085632548,0.154,0.054,3.83224380970734e-21,0.1
Nr4a1,1.26121352995809e-87,3.67077691476766,0.112,0.013,6.30985129038033e-84,0.099
Ppt1,9.81341047308187e-13,1.06260576821114,0.236,0.137,4.90964925968286e-09,0.099
Cdkn2d,6.77559079872915e-47,2.70512011368599,0.124,0.026,3.38982807660419e-43,0.098
Cpeb2,1.79543797522286e-31,2.27145633541188,0.139,0.041,8.98257619003997e-28,0.098
Nfil3,2.09448276253731e-39,2.61027904431577,0.127,0.031,1.04786972609742e-35,0.096
Marcks,3.80829067836999e-11,1.03601446998261,0.279,0.184,1.90528782638851e-07,0.095
Ddx6,5.20078527100125e-11,1.00936555598563,0.303,0.208,2.60195287108192e-07,0.095
Cmtm6,2.74106420740657e-13,1.3564929752051,0.195,0.104,1.37135442296551e-09,0.091
Ncf4,3.63007397642792e-55,2.91414284813062,0.109,0.018,1.81612601040689e-51,0.091
Il10ra,5.92556531569e-36,2.30344381062378,0.12,0.029,2.96456032743971e-32,0.091
Cd24a,3.80217129595425e-08,0.415294784760873,0.275,0.185,0.000190222629936591,0.09
Il17ra,9.39386479769176e-51,2.80772035681065,0.11,0.02,4.69975055828519e-47,0.09
Sgms2,1.2650703059582e-20,2.02704394156407,0.144,0.055,6.32914674070888e-17,0.089
Usp32,1.75680937067845e-17,1.5876999699785,0.154,0.065,8.78931728150429e-14,0.089
Dock2,1.44218937592011e-25,1.82507881387145,0.127,0.039,7.21527344772832e-22,0.088
Svil,3.98661926334637e-12,1.01299467716404,0.182,0.094,1.99450561745219e-08,0.088
Tgm2,4.91937119740685e-10,1.15344635897661,0.253,0.166,2.46116141006265e-06,0.087
