,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Gdpd1,1.82520657536928e-07,-0.509511148036134,0.112,0.142,0.000913150849657253,-0.03
Rgmb,1.49363952154512e-08,-0.648846100848774,0.073,0.103,7.47267852629024e-05,-0.03
Kif5b,3.26884870488195e-06,-0.382112781518998,0.165,0.195,0.0163540500705244,-0.03
Gars,7.21729780182798e-09,-0.579723958836656,0.079,0.11,3.61081409025454e-05,-0.031
Ece1,3.60853399367039e-08,-0.553220332710617,0.089,0.12,0.00018053495570333,-0.031
Eif4g1,7.39830291243442e-07,-0.393177897343197,0.133,0.164,0.00370137094709094,-0.031
Gpi1,1.36076489954469e-07,-0.47525885976661,0.103,0.134,0.000680790679242211,-0.031
Csnk2a1,2.41652261826246e-07,-0.485620688311071,0.107,0.138,0.00120898626591671,-0.031
Zbtb7a,3.97298110906783e-09,-0.574001907242083,0.081,0.113,1.98768244886664e-05,-0.032
Ndufs1,3.99341294807596e-09,-0.611539871773172,0.072,0.104,1.9979044979224e-05,-0.032
Slk,3.95984443716579e-07,-0.45892167169377,0.142,0.174,0.00198111017191404,-0.032
Kif1c,4.3676945813519e-07,-0.445429105475507,0.177,0.209,0.00218515759905036,-0.032
Cdkn1b,1.49416102386423e-06,-0.352468572594475,0.163,0.195,0.00747528760239274,-0.032
Immt,8.88226748712526e-09,-0.538614310321898,0.094,0.127,4.44379842380877e-05,-0.033
Lta4h,1.6793481995137e-08,-0.504956632729009,0.098,0.131,8.40177904216702e-05,-0.033
P4hb,3.12908374112582e-08,-0.368246072858316,0.31,0.343,0.000156548059568525,-0.033
Fam107b,8.36718229227871e-09,-0.59594153073136,0.107,0.141,4.18610130082704e-05,-0.034
Tnc,9.13636401630814e-11,-1.06220457021227,0.076,0.11,4.57092291735896e-07,-0.034
Kitl,7.95664851551743e-11,-0.725785695834189,0.068,0.103,3.98071125231337e-07,-0.035
Phb2,2.29043879864483e-09,-0.550489174009903,0.097,0.132,1.14590653096201e-05,-0.035
Ogdh,3.14359678740985e-09,-0.510050953629722,0.114,0.15,1.57274147274115e-05,-0.036
Myh11,1.64488086329024e-13,-2.36169786041251,0.123,0.159,8.22933895904108e-10,-0.036
Pycard,5.61821832108971e-11,-0.685150791879988,0.081,0.117,2.81079462604118e-07,-0.036
Smad4,2.71854884726311e-09,-0.532456918503862,0.101,0.137,1.36008998828573e-05,-0.036
Sdha,3.46362796746012e-08,-0.411600988915886,0.205,0.241,0.00017328530721203,-0.036
Zzef1,4.3590888394015e-12,-0.741428567997461,0.065,0.102,2.18085214635257e-08,-0.037
Rab6a,7.82988585306792e-09,-0.45324965113688,0.129,0.166,3.91729189228988e-05,-0.037
Odc1,4.35731796617424e-09,-0.429684944229282,0.124,0.162,2.17996617847697e-05,-0.038
Sdhb,8.14632643054743e-09,-0.435517272513179,0.189,0.227,4.07560711320288e-05,-0.038
Lin7c,5.37912503812706e-12,-0.663602651264281,0.078,0.117,2.69117625657497e-08,-0.039
Jpt1,4.31191297993885e-09,-0.435313089152913,0.154,0.193,2.15725006386341e-05,-0.039
Smdt1,1.6259875984715e-09,-0.472093464287492,0.163,0.203,8.13481595515292e-06,-0.04
Actn1,3.22195000951996e-12,-0.760997496792349,0.132,0.174,1.61194158976284e-08,-0.042
Esyt2,1.31178902747257e-15,-0.851806728292484,0.068,0.112,6.56288050444528e-12,-0.044
Pdcd4,7.42624490404176e-13,-0.66925431904087,0.103,0.147,3.71535032549209e-09,-0.044
Sptan1,6.12707808195432e-12,-0.518762334239533,0.169,0.215,3.06537716440175e-08,-0.046
Mdp1,7.03752434164469e-17,-0.837277114170034,0.073,0.12,3.52087342812484e-13,-0.047
Casp1,6.07061795777136e-16,-0.819021051525326,0.086,0.133,3.03713016427301e-12,-0.047
Mob2,4.78663260963495e-19,-0.994533807904038,0.059,0.107,2.39475229460037e-15,-0.048
Chchd3,3.07388916466042e-17,-0.871085684054494,0.072,0.12,1.53786674907961e-13,-0.048
Cd151,6.35098667957284e-18,-0.817981300693785,0.075,0.125,3.17739863579029e-14,-0.05
Appl1,3.11182585261612e-17,-0.794670830902725,0.081,0.131,1.55684647406384e-13,-0.05
Hadhb,2.7492298632164e-18,-0.829291585389714,0.075,0.126,1.37543970056717e-14,-0.051
Ets2,8.89545949755412e-21,-0.991462748479452,0.063,0.115,4.45039838662633e-17,-0.052
Lpp,3.22050433228161e-17,-0.899262459276573,0.117,0.169,1.61121831744049e-13,-0.052
Mprip,8.23773102917508e-14,-0.522813346877879,0.209,0.261,4.12133683389629e-10,-0.052
Csnk1a1,4.85758935264056e-14,-0.514258128470383,0.162,0.215,2.43025195312607e-10,-0.053
Actg2,6.40928667685027e-24,-2.99262467009268,0.071,0.124,3.20656612442819e-20,-0.053
Myo18a,9.03790050113861e-19,-0.842926350708843,0.092,0.146,4.52166162071965e-15,-0.054
Slc9a3r1,1.42096530403864e-23,-1.24688390455185,0.056,0.111,7.10908941610533e-20,-0.055
Fosl2,1.93943092886948e-25,-1.23025841591066,0.05,0.106,9.70297293713403e-22,-0.056
Wasl,3.55535332013545e-25,-1.19878224018757,0.05,0.106,1.77874326606376e-21,-0.056
Hk2,4.15251519714856e-22,-1.10205855819154,0.069,0.125,2.07750335313343e-18,-0.056
Twf1,5.10884545369618e-20,-0.82659309830214,0.086,0.142,2.5559553804842e-16,-0.056
Atp5f1,1.08247314433029e-15,-0.503376657743265,0.252,0.308,5.41561314108443e-12,-0.056
Idi1,1.67742824226336e-23,-1.07717246955096,0.06,0.116,8.39217349604358e-20,-0.056
Gstp1,1.16136837578453e-22,-0.974275772935551,0.066,0.123,5.81032598405002e-19,-0.057
Laptm4b,4.57392764710121e-26,-1.18303510195698,0.052,0.111,2.28833600184473e-22,-0.059
Rnf10,2.11295755946792e-17,-0.562935447824968,0.172,0.232,1.0571126670018e-13,-0.06
Mapk3,6.02858659538287e-26,-0.95820250965993,0.082,0.147,3.01610187367005e-22,-0.065
Smtn,3.23375259112865e-33,-2.02280873725343,0.044,0.109,1.61784642134167e-29,-0.065
Sorbs1,4.56529680041557e-32,-1.54169134615763,0.047,0.112,2.28401798924791e-28,-0.065
Prkab1,1.82049039901965e-29,-1.22686872705074,0.055,0.12,9.10791346629531e-26,-0.065
Vcl,1.87315153120427e-29,-1.29285507645951,0.06,0.125,9.37137711061497e-26,-0.065
Brpf3,4.39351753592105e-36,-1.56086849004584,0.038,0.107,2.1980768232213e-32,-0.069
Acaa2,2.81073867453921e-32,-1.30740801254991,0.055,0.124,1.40621255887197e-28,-0.069
Ctnnb1,3.53281059482189e-22,-0.606845731497053,0.249,0.318,1.76746514058939e-18,-0.069
Iqgap2,9.65785171892279e-29,-1.10149307826173,0.089,0.16,4.83182321497707e-25,-0.071
Lasp1,1.04769669843637e-24,-0.780197745282903,0.131,0.202,5.24162658227713e-21,-0.071
Erbin,2.03356726095488e-24,-0.761809691876608,0.174,0.246,1.01739370065573e-20,-0.072
Mast2,7.00993888038686e-35,-1.31725146593514,0.059,0.132,3.50707242185755e-31,-0.073
Mlec,3.06922378830027e-25,-0.768585834931708,0.142,0.215,1.53553266128663e-21,-0.073
Sdhc,3.72189589998998e-25,-0.754122195559245,0.143,0.216,1.86206451876499e-21,-0.073
Vwa8,2.91179055044212e-41,-1.76659591733484,0.036,0.11,1.45676881238619e-37,-0.074
Nedd4l,2.31414427447891e-38,-1.61798467379857,0.049,0.124,1.1577663805218e-34,-0.075
F11r,1.75034097984518e-32,-1.05925931985671,0.083,0.16,8.75695592216544e-29,-0.077
Nedd4,3.00578853221182e-27,-0.733856829366207,0.194,0.272,1.50379600266557e-23,-0.078
Sema3c,2.41426748050762e-48,-2.05761774435126,0.026,0.106,1.20785802049796e-44,-0.08
Vdac2,5.5034289116713e-31,-0.903480855000109,0.114,0.194,2.75336548450915e-27,-0.08
Sod1,1.4233661281684e-27,-0.717022707305938,0.188,0.268,7.1211007392265e-24,-0.08
Rhoc,6.09093403746617e-36,-1.21660532436676,0.087,0.168,3.04729429894432e-32,-0.081
Slc16a1,1.05678805175902e-52,-2.41496290008242,0.022,0.105,5.28711062295038e-49,-0.083
Lima1,2.31006632275546e-35,-1.02363774360749,0.092,0.175,1.15572618127455e-31,-0.083
Mtch2,3.52816159256925e-39,-1.18324734433865,0.087,0.173,1.7651392447624e-35,-0.086
Pfkp,6.3885104373288e-46,-1.57642836372299,0.052,0.139,3.1961717717956e-42,-0.087
Abcg2,1.27078152787868e-56,-2.59478741730646,0.022,0.11,6.35771998397705e-53,-0.088
Afdn,3.00542097406278e-54,-2.17088439124589,0.028,0.116,1.50361211332361e-50,-0.088
Nhsl1,2.23980694327236e-61,-2.87607041465604,0.015,0.105,1.12057541371916e-57,-0.09
Tmem98,9.53732094258648e-59,-2.50881460675352,0.02,0.11,4.77152166757601e-55,-0.09
Tmprss4,1.47763561005609e-63,-3.25457249019861,0.011,0.101,7.3926109571106e-60,-0.09
Ccl25,2.63438062927895e-65,-3.90235216113137,0.01,0.101,1.31798062882826e-61,-0.091
Lgr4,5.48621080749238e-65,-3.28892946615744,0.011,0.103,2.74475126698844e-61,-0.092
Map7,2.51302524861834e-67,-3.55959695400105,0.009,0.102,1.25726653188376e-63,-0.093
Ptprk,7.41826494101447e-59,-2.25354171678252,0.027,0.12,3.71135794998954e-55,-0.093
Abcd3,2.40103426592427e-52,-1.78637262775522,0.043,0.136,1.20123744324191e-48,-0.093
F2rl1,3.75927710435306e-69,-3.72669807629647,0.009,0.104,1.88076633530784e-65,-0.095
Pgk1,5.10550166188758e-38,-0.886400820621091,0.153,0.248,2.55428248144235e-34,-0.095
Nectin3,5.39242837016111e-68,-3.20553162936748,0.013,0.109,2.6978319135916e-64,-0.096
Mxd1,5.91056178876699e-57,-2.27482350929961,0.044,0.141,2.95705406292013e-53,-0.097
Apoa1,2.37816921731649e-62,-3.83718270722489,0.036,0.134,1.18979805942344e-58,-0.098
Ppp1r1b,6.05961445521349e-68,-2.93713175444499,0.018,0.117,3.03162511194331e-64,-0.099
Prkaa2,6.92491362817262e-76,-4.08092876609625,0.007,0.109,3.46453428817476e-72,-0.102
Hoxb5,2.47307689029751e-74,-3.86535329802696,0.009,0.111,1.23728036821584e-70,-0.102
Slc12a2,2.30238884010839e-63,-2.30929847777843,0.038,0.141,1.15188513670623e-59,-0.103
Ctnna1,4.77725561792592e-47,-1.10046482512811,0.111,0.214,2.39006098564834e-43,-0.103
Cldn2,1.06919188957147e-73,-3.42974524090611,0.013,0.116,5.34916702352607e-70,-0.103
Gna11,6.8843610563357e-67,-2.34202026953793,0.031,0.135,3.44424583648475e-63,-0.104
Slc6a8,1.10806971483819e-65,-2.36331391828478,0.034,0.138,5.54367278333545e-62,-0.104
Jup,1.13393427694794e-56,-1.48271728678436,0.065,0.17,5.67307318757054e-53,-0.105
Vdac1,3.80297470406163e-52,-1.21521030529492,0.101,0.208,1.90262824444204e-48,-0.107
Cd24a,2.59904797630258e-60,-2.10577423670536,0.077,0.185,1.30030370254418e-56,-0.108
Tpi1,8.08405076206542e-54,-1.29315782010984,0.094,0.202,4.04445059626133e-50,-0.108
Ybx3,9.00671397655854e-54,-1.28554921343916,0.095,0.203,4.50605900247224e-50,-0.108
Tmprss2,5.61589540018462e-82,-4.31911440009996,0.007,0.116,2.80963246871237e-78,-0.109
Noxo1,3.53909073706474e-80,-3.78832649024156,0.009,0.118,1.77060709575349e-76,-0.109
Naip1,8.65861012572537e-82,-4.0598462628714,0.008,0.117,4.3319026459004e-78,-0.109
Cd2ap,6.2839087392127e-57,-1.42003250408866,0.085,0.195,3.14383954222811e-53,-0.11
Hoxb9,9.36547993109306e-82,-3.8370263274404,0.009,0.12,4.68554960952586e-78,-0.111
Myo6,4.09059753142131e-75,-2.38111496422851,0.031,0.145,2.04652594497008e-71,-0.114
Mboat1,3.26118801559434e-83,-3.53094606049979,0.013,0.127,1.63157236420185e-79,-0.114
Trim2,8.2338427374882e-80,-2.91063229293225,0.02,0.135,4.11939152156535e-76,-0.115
Abhd17c,3.65610372115578e-68,-1.89856004480256,0.054,0.169,1.82914869169424e-64,-0.115
Gmds,1.47722481835346e-81,-2.8143672026036,0.023,0.141,7.39055576622236e-78,-0.118
Fzd5,4.41175260035796e-85,-3.15275779375087,0.017,0.135,2.20719982595909e-81,-0.118
Shroom3,1.71152552861043e-83,-2.81966608188754,0.023,0.143,8.56276221963799e-80,-0.12
Klf4,7.5666395904566e-78,-2.39135063548133,0.037,0.157,3.78558978710544e-74,-0.12
Ezr,2.75194528107272e-71,-1.93005448518739,0.057,0.177,1.37679822412068e-67,-0.12
Gfpt1,8.76835343386742e-74,-1.94848662895304,0.054,0.175,4.38680722296387e-70,-0.121
Ipmk,5.43261010362057e-77,-2.10975749785699,0.044,0.166,2.71793483484137e-73,-0.122
Cs,1.86020020265679e-59,-1.08690085228272,0.162,0.286,9.3065816138919e-56,-0.124
Cyp3a13,1.47057195596562e-96,-4.9708761916604,0.005,0.129,7.35727149569598e-93,-0.124
Atp5o,4.29362405437021e-60,-1.13612181671545,0.137,0.261,2.14810011440142e-56,-0.124
Dsp,1.98413767504819e-88,-2.96339564832902,0.02,0.145,9.92664078826607e-85,-0.125
Sort1,1.04858498702399e-89,-2.88849906898599,0.022,0.149,5.246070690081e-86,-0.127
Itgb4,1.5209956235314e-97,-3.8939101419288,0.01,0.138,7.60954110452759e-94,-0.128
