,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Bnc2,0,3.38479348005407,0.131,0.012,0,0.119
Cacna2d1,0,2.77283033625022,0.137,0.02,0,0.117
Mrgprf,0,3.56811807934095,0.128,0.011,0,0.117
Msn,0,0.971944824958707,0.22,0.103,0,0.117
Itga7,0,2.89545981758942,0.135,0.019,0,0.116
Igfbp2,0,5.26941676194875,0.12,0.004,0,0.116
Mob2,0,1.22774471792814,0.216,0.1,0,0.116
Fat4,0,2.87223552629874,0.133,0.018,0,0.115
Smarcd3,0,3.40975773887133,0.127,0.012,0,0.115
Tead3,0,2.12306535670174,0.149,0.035,0,0.114
Msrb1,0,2.55214920387489,0.136,0.023,0,0.113
Hspa1b,0,1.4343418469193,0.207,0.094,0,0.113
Lmo4,0,1.23068524060189,0.206,0.093,0,0.113
Lamc1,0,0.860377747435269,0.219,0.107,0,0.112
Rhoj,0,1.69368218791497,0.156,0.046,0,0.11
Sept6,0,2.28577620309274,0.135,0.027,0,0.108
Tmem106b,0,1.47526484040924,0.172,0.064,0,0.108
Nxn,0,3.22905861272724,0.12,0.013,0,0.107
Bicd2,0,1.98705774604892,0.144,0.037,0,0.107
Pkm,0,0.502029327918449,0.367,0.26,0,0.107
Itga9,0,2.46078809390777,0.129,0.023,0,0.106
Srf,0,2.01969187153961,0.144,0.038,0,0.106
Camk2g,0,3.15310969026319,0.118,0.013,0,0.105
Ntn1,0,2.32325859455419,0.128,0.024,0,0.104
Kitl,0,1.13233759203312,0.199,0.096,0,0.103
Foxp1,0,1.03857014488296,0.201,0.099,0,0.102
Ifi27,0,1.92898772101158,0.139,0.037,0,0.102
Pbx3,0,3.1004872877972,0.116,0.014,0,0.102
Pkd2,0,1.40025486103149,0.163,0.061,0,0.102
Tgm2,0,0.649765156233231,0.262,0.16,0,0.102
F3,0,2.00235133199852,0.131,0.03,0,0.101
Dusp3,0,1.6983055971986,0.147,0.046,0,0.101
Lrig1,0,1.74955584310498,0.144,0.043,0,0.101
Flot2,0,1.82440904196514,0.141,0.04,0,0.101
Pakap,0,1.91965766177528,0.134,0.034,0,0.1
Sema3a,0,3.2760972427274,0.111,0.011,0,0.1
Smoc2,0,2.0439499260586,0.132,0.032,0,0.1
Wwtr1,0,2.11138325438981,0.13,0.03,0,0.1
Notch2,0,1.71584631395292,0.138,0.041,0,0.097
Qsox1,0,1.48234610521292,0.151,0.054,0,0.097
Egln3,0,1.14743972140613,0.175,0.078,0,0.097
Igf1r,0,1.66034790245142,0.139,0.044,0,0.095
Agl,0,2.46063265700681,0.117,0.022,0,0.095
Calu,0,0.798679090549215,0.218,0.123,0,0.095
Ilk,0,2.10376477774578,0.124,0.029,0,0.095
Coro1c,3.89270752536401e-314,0.559460084170639,0.317,0.222,1.94752157493961e-310,0.095
Ccnd3,0,1.04571255677552,0.183,0.089,0,0.094
Dysf,0,3.04049986136159,0.105,0.012,0,0.093
Hand2,0,3.47709898679975,0.101,0.008,0,0.093
Itpkb,0,2.08069301533231,0.122,0.029,0,0.093
Ltbp1,0,1.33017729152588,0.145,0.053,0,0.092
Stat3,0,1.02148817119288,0.185,0.093,0,0.092
Dusp1,0,1.87253069951848,0.125,0.034,0,0.091
Itpr1,0,1.70021977206702,0.13,0.039,0,0.091
Rtn4,0,0.709059336799614,0.239,0.148,0,0.091
Gtf2i,0,1.10932173261761,0.169,0.079,0,0.09
Rheb,0,0.987004401477586,0.188,0.098,0,0.09
Ccnd2,0,0.576986408244958,0.247,0.158,0,0.089
Dkk3,0,1.17283954933492,0.151,0.062,0,0.089
Abl1,0,1.36754852598344,0.144,0.057,0,0.087
Sdc2,0,1.60447696607059,0.129,0.042,0,0.087
Gabbr1,0,1.00981413923616,0.165,0.079,0,0.086
Kif1b,0,0.976365998697632,0.177,0.092,0,0.085
Arid5b,0,1.53586375754305,0.131,0.047,0,0.084
Got2,0,1.1019938000814,0.162,0.078,0,0.084
Cdk8,0,1.39907713199544,0.139,0.056,0,0.083
Gja1,0,1.11809513173444,0.179,0.096,0,0.083
Bmpr1a,0,1.36863404393548,0.136,0.054,0,0.082
Col6a1,0,0.817954863106142,0.164,0.082,0,0.082
Gyg,0,1.66367317095734,0.12,0.038,0,0.082
Bmpr2,0,0.761078029197615,0.198,0.117,0,0.081
Adgrl1,0,1.93908587856943,0.107,0.027,0,0.08
Enpp1,0,1.95323209703942,0.108,0.028,0,0.08
Adamts1,0,1.82161677623185,0.108,0.029,0,0.079
Dlgap4,0,1.4041195258649,0.127,0.048,0,0.079
Ptpn11,0,1.26578037204261,0.135,0.058,0,0.077
Zfhx3,0,1.75702509574946,0.108,0.031,0,0.077
Cav2,0,1.18541052988168,0.126,0.05,0,0.076
Gucy1a1,0,1.87144942331002,0.104,0.028,0,0.076
Rdx,0,1.2962843694705,0.123,0.048,0,0.075
Nfia,0,1.1000983395566,0.139,0.065,0,0.074
Col1a1,7.33748529574728e-138,-0.19001513395919,0.256,0.182,3.67094389346236e-134,0.074
Fgfr1,0,1.5470891843429,0.109,0.036,0,0.073
Spsb1,0,1.2691182218461,0.123,0.05,0,0.073
Atf5,0,1.05314064007308,0.141,0.069,0,0.072
Prkar1a,1.7032129684331e-254,0.608349942630928,0.2,0.129,8.52117448107081e-251,0.071
Ehd4,0,1.66178601966498,0.103,0.032,0,0.071
Rab28,0,0.990749728024351,0.146,0.075,0,0.071
Gpc4,0,0.918336351139835,0.156,0.086,0,0.07
Il11ra1,0,1.29249071668849,0.117,0.047,0,0.07
Cd151,5.89275457746261e-277,0.689931934084486,0.191,0.121,2.94814511510454e-273,0.07
Wls,0,0.89050260234022,0.152,0.082,0,0.07
Prkaa2,2.06977277749935e-315,0.802046886438706,0.174,0.104,1.03550732058293e-311,0.07
Hsph1,3.76262629164021e-239,0.583184448197353,0.205,0.135,1.8824419337076e-235,0.07
Impact,0,1.20743919496276,0.117,0.05,0,0.067
Il13ra1,5.42669692859526e-220,0.589562534316939,0.202,0.136,2.71497647337621e-216,0.066
Ldb1,0,0.831871054076146,0.148,0.082,0,0.066
Bmp1,0,0.898923759834933,0.127,0.063,0,0.064
Ywhag,1.24627423815608e-277,0.725401089825478,0.16,0.096,6.23511001349486e-274,0.064
Capn2,8.43133238297657e-268,0.711016576323669,0.157,0.094,4.21819559120318e-264,0.063
Arhgef12,5.55485475035577e-282,0.780667265242488,0.149,0.087,2.77909383160299e-278,0.062
Rab5b,2.59824637049877e-209,0.591858417299183,0.184,0.122,1.29990265916053e-205,0.062
Col1a2,3.05600854594779e-87,-0.213499156891849,0.247,0.186,1.52892107553768e-83,0.061
Tmem109,7.02050484508453e-318,0.876612579419802,0.129,0.069,3.51235857399579e-314,0.06
Axl,4.48487704419434e-271,0.658750115232553,0.141,0.081,2.24378398521043e-267,0.06
Sept7,4.7486512959097e-211,0.637217867023061,0.167,0.108,2.37575024334362e-207,0.059
Irs2,0,1.18254143569264,0.109,0.051,0,0.058
Thra,8.33655805917635e-295,0.868646376835501,0.127,0.069,4.17077999700593e-291,0.058
Cd200,0,1.11960972866541,0.101,0.044,0,0.057
Idh2,7.07509171137235e-277,0.831500653318965,0.128,0.071,3.53966838319959e-273,0.057
Comt,3.05185624211601e-197,0.596458539557076,0.164,0.107,1.52684367793064e-193,0.057
Ghr,0,1.04152700995778,0.108,0.051,0,0.057
Tnfrsf1a,4.6198284555067e-143,0.427938447814024,0.214,0.157,2.31130017629e-139,0.057
Csde1,4.96570149805239e-113,0.364649997724617,0.316,0.259,2.48434045947561e-109,0.057
Arrdc3,0,0.957851495267906,0.115,0.059,0,0.056
Ube2b,3.5609218551363e-149,0.499975281823446,0.197,0.142,1.78152920412469e-145,0.055
Stk38l,9.88131291682493e-324,0.976623744779503,0.112,0.057,4.94362085228751e-320,0.055
Gnaq,2.31104125341595e-310,0.972226941123128,0.113,0.059,1.156213939084e-306,0.054
Bcl7b,4.32758640621499e-315,0.955092677477742,0.112,0.058,2.16509147902936e-311,0.054
Fbn1,9.73842688583964e-201,0.432132825651478,0.139,0.086,4.87213497098557e-197,0.053
Tshz1,0,1.10225632988374,0.1,0.047,0,0.053
Fbxo3,3.52827479235263e-262,0.864432774092802,0.119,0.066,1.76519587861402e-258,0.053
Nek7,1.88945986401593e-156,0.548606646567249,0.165,0.113,9.4529676996717e-153,0.052
Cops8,5.5669249635748e-292,0.971047545808198,0.108,0.056,2.78513255927647e-288,0.052
Lama4,9.83440707853926e-282,0.817082537832687,0.107,0.056,4.92015386139319e-278,0.051
Pafah1b1,1.83579928409445e-186,0.673029572751149,0.134,0.084,9.18450381832455e-183,0.05
Anapc5,4.72640228046187e-152,0.540090440777331,0.16,0.11,2.36461906091507e-148,0.05
Sema3c,7.38757367603221e-156,0.587817113889392,0.152,0.103,3.69600311011892e-152,0.049
Thap12,3.3604458279062e-190,0.718074379164287,0.124,0.077,1.68123104770147e-186,0.047
Mapkapk2,3.05518236396805e-146,0.54821925925657,0.14,0.094,1.52850773669322e-142,0.046
Klc1,3.72294288966536e-163,0.630946157583035,0.129,0.083,1.86258832769958e-159,0.046
Eln,9.5996143914716e-188,0.394637917646009,0.107,0.062,4.80268708005324e-184,0.045
Ryk,9.80985669374206e-145,0.582303264184764,0.13,0.086,4.90787130387915e-141,0.044
Rbms1,6.86022929923316e-177,0.66950031344494,0.111,0.067,3.43217271840635e-173,0.044
Esyt2,6.40356224739757e-119,0.512681360811867,0.153,0.109,3.20370219237301e-115,0.044
Nfib,2.09688297161406e-151,0.646818701749277,0.119,0.076,1.04907055069851e-147,0.043
Pbrm1,2.980176978564e-148,0.625595606597602,0.12,0.077,1.49098254237557e-144,0.043
Strn3,2.04305273882637e-141,0.618018795441549,0.127,0.084,1.02213928523483e-137,0.043
Itgav,4.15426814850555e-136,0.545166401898766,0.124,0.082,2.07838035469733e-132,0.042
Rhoc,3.5188033771736e-67,0.185409415862188,0.207,0.165,1.76045732959995e-63,0.042
Mprip,6.46659936508812e-52,0.177586189705567,0.3,0.258,3.23523966235359e-48,0.042
Lum,4.48451337291937e-139,0.594351759201728,0.11,0.071,2.24360204047156e-135,0.039
Vamp2,4.38067518242727e-124,0.558627109691621,0.115,0.077,2.19165179376836e-120,0.038
C3,5.75853388928266e-98,0.297642212364046,0.134,0.096,2.88099450480812e-94,0.038
Sept2,1.06220737948778e-54,0.257622304306243,0.226,0.189,5.31422351957737e-51,0.037
Arid2,1.21427163236161e-118,0.59500527208482,0.106,0.07,6.07500097670514e-115,0.036
Agpat3,6.15365191120029e-100,0.527562050508171,0.112,0.077,3.07867205117351e-96,0.035
Grn,1.73042538675455e-44,0.125366494614545,0.217,0.182,8.65731820993304e-41,0.035
Ube2g1,5.4086226579495e-114,0.601538424059685,0.102,0.067,2.70593391577213e-110,0.035
Rnf13,1.80318027063708e-94,0.485800033879594,0.119,0.084,9.0213108939973e-91,0.035
Dst,1.79077552800129e-67,0.330316544236061,0.147,0.113,8.95924996659044e-64,0.034
Hk1,1.52530787007359e-99,0.576073878355535,0.1,0.067,7.63111527397816e-96,0.033
Ppp3cb,2.07039846721906e-79,0.432663827481062,0.123,0.09,1.03582035314969e-75,0.033
Rbbp7,9.87983870698711e-77,0.409663614525339,0.13,0.097,4.94288330510565e-73,0.033
