"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Slc30a10",0,1.44003080120563,0.19,0.076,0,Inf,0.114
"Prkg2",0,1.09572862979939,0.232,0.119,0,Inf,0.113
"Mtch2",1.47681490044458e-193,0.474056098578489,0.444,0.349,7.38850494692422e-190,189.131443431563,0.095
"Gcnt3",1.49671682863341e-178,0.490526362082491,0.415,0.325,7.48807429365296e-175,174.125629855354,0.09
"Mettl7b",3.74471318820357e-288,0.382165788632711,0.735,0.652,1.87348000805825e-284,283.72735093691,0.083
"Hist1h2bc",4.03857406787378e-188,0.367725423153145,0.628,0.545,2.02049860615725e-184,183.69454144482,0.083
"Fkbp5",2.05221307309741e-175,0.630579866968501,0.289,0.207,1.02672220047063e-171,170.988547047272,0.082
"Txnip",9.59408386118202e-139,0.358228017224432,0.543,0.471,4.79992015574937e-135,134.318765986834,0.0720000000000001
"Bmp3",7.37626930843224e-219,1.05640352536049,0.147,0.076,3.69034753500865e-215,214.432932732641,0.071
"Sod1",1.08651471180983e-72,0.214913813983386,0.535,0.475,5.4358331031846e-69,68.2647338859128,0.0600000000000001
"Hexa",1.35559048840394e-83,0.405115793659104,0.255,0.198,6.78201921348492e-80,79.1686409841983,0.057
"Prap1",6.35314878749915e-90,0.487274926406263,0.194,0.141,3.17848033838583e-86,85.4977804707073,0.053
"Adh5",5.53556854091677e-74,0.395010717236215,0.25,0.197,2.76944494102066e-70,69.5576072645843,0.053
"Cdx2",3.3565008357515e-52,0.204293806792115,0.45,0.397,1.67925736812648e-48,47.7748827374585,0.053
"Gstp1",5.49474314911721e-73,0.390603701988999,0.248,0.196,2.74901999750334e-69,68.5608221009082,0.052
"Abcd3",2.3675523242658e-52,0.261125078157115,0.34,0.291,1.18448642783018e-48,47.9264699111778,0.049
"P4hb",3.75822609419631e-43,0.167383528031464,0.459,0.41,1.88024051492641e-39,38.7257865934893,0.049
"Efna1",2.96928443314058e-60,0.349711157552071,0.288,0.239,1.48553300190023e-56,55.8281176956719,0.049
"Canx",1.49509680545683e-44,0.196385855716007,0.386,0.337,7.47996931770053e-41,40.1261001835768,0.049
"Tmigd1",8.41961082291848e-76,0.417490501448106,0.45,0.403,4.21233129470612e-72,71.3754774794133,0.047
"Scarb2",2.65560702338162e-50,0.255357060981171,0.349,0.302,1.32860019379782e-46,45.8766056885456,0.047
"Erbb2",7.27395163325868e-44,0.273011907067443,0.306,0.263,3.63915800211932e-40,39.4389990881459,0.043
