"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Tnfrsf9",5.32360555043685e-06,1.22415986444398,0.154,0.065,0.0266339985688356,1.57456362792758,0.089
"Anxa2",0.00224454115910645,0.546367640440158,0.297,0.213,1,0,0.084
"Gpnmb",1.1915036546067e-05,1.45918763577817,0.146,0.064,0.0596109278399733,1.22467411835431,0.082
"Adamdec1",0.000965194686605999,0.552028611359073,0.576,0.496,1,0,0.08
"Aldoa",0.00555121964982925,0.483422147724278,0.286,0.21,1,0,0.076
"Cdx1",1.67987702213043e-05,1.24800660639834,0.109,0.04,0.0840442474171853,1.07549200739372,0.069
"Fcrls",0.000130259598596588,1.13645153468604,0.112,0.048,0.651688771778727,0.185959761583115,0.064
"Tnfrsf11a",0.00844903661438207,0.611024797307353,0.164,0.107,1,0,0.057
"Ywhae",0.0289554530960578,0.400752017863829,0.253,0.196,1,0,0.057
"Gja1",0.0245396337398258,0.517781158469144,0.229,0.173,1,0,0.056
"Mmp13",0.00443190546575775,1.07916268034636,0.135,0.081,1,0,0.054
"Fstl1",0.0446509325871257,0.380244590478185,0.299,0.245,1,0,0.054
"Cd36",0.000662611678672674,1.43893521175172,0.094,0.041,1,0,0.053
"Defa5",0.0195565142142932,0.556302835697938,0.177,0.124,1,0,0.053
"Igfbp3",0.0336466630129364,0.384788962904623,0.195,0.143,1,0,0.052
"Il11",1.75088899267995e-07,3.11405214972948,0.057,0.005,0.000875969763037781,3.05751088466809,0.052
"Il1rn",0.00488220322688556,0.966526533243731,0.125,0.073,1,0,0.052
"Lgals9",0.036349194244822,0.505502828690706,0.232,0.181,1,0,0.051
"Kcnj8",0.000159458428732367,1.75377388185276,0.076,0.025,0.797770518948034,0.0981220167786964,0.051
"Slc40a1",0.0347063786550654,0.360110033366483,0.198,0.148,1,0,0.05
"Slc9a9",0.0320584510745413,0.524675137965553,0.219,0.169,1,0,0.05
"Bcl2l1",0.0284788213775724,0.416497822631962,0.159,0.11,1,0,0.049
"Pkib",0.0157430200090752,0.61573839089883,0.143,0.094,1,0,0.049
"Lamb1",0.0536444637192405,0.425332480006723,0.201,0.154,1,0,0.047
"Ank",0.00687552431870607,0.944614462948408,0.107,0.06,1,0,0.047
"Itgam",0.0264375529411565,0.67447900073947,0.151,0.105,1,0,0.046
"Odc1",0.0855586638806127,0.470945606654338,0.354,0.308,1,0,0.046
"Dusp6",0.0878839143358454,0.281649450225979,0.294,0.248,1,0,0.046
"Aatf",0.00548901933906705,0.997355925020381,0.094,0.049,1,0,0.045
"Kif1c",0.0668953370261754,0.351363990901666,0.185,0.141,1,0,0.044
"Maoa",0.000129709126428034,1.88187870760045,0.06,0.016,0.648934759519453,0.187798962683306,0.044
"Eif4a3",0.0479347980236389,0.500449600964421,0.174,0.13,1,0,0.044
"Litaf",0.107587859655453,0.290816007342872,0.266,0.223,1,0,0.043
"Cldn7",0.000251274935314832,2.18143898945935,0.06,0.017,1,0,0.043
"Pkm",0.0814248237517314,0.391620630826151,0.339,0.297,1,0,0.042
"Ereg",0.0431430982966359,0.82406407247967,0.167,0.126,1,0,0.041
"Il13ra1",0.0459180727248127,0.54449696030657,0.148,0.107,1,0,0.041
"Yars",0.00762222738938521,0.983255727975528,0.083,0.043,1,0,0.04
"Ubash3b",0.00606321839321072,1.02229382677028,0.078,0.038,1,0,0.04
"F13a1",0.0191277877663865,0.923457811351845,0.102,0.062,1,0,0.04
"Ece1",0.0366849928944439,0.632519238663728,0.122,0.083,1,0,0.039
"Coro1c",0.0967902305690136,0.425902647599367,0.242,0.203,1,0,0.039
"Cybb",0.246897257093423,0.170807437729466,0.331,0.293,1,0,0.038
"Trem2",0.00328747734568778,1.16446591085564,0.065,0.027,1,0,0.038
"Selenof",0.155296790767952,0.240882171964961,0.227,0.189,1,0,0.038
"Vat1",0.0605601668844059,0.609591988528456,0.146,0.108,1,0,0.038
"Cd151",0.0260650045474573,0.711953706158133,0.096,0.059,1,0,0.037
"Cemip",3.49992743718034e-06,4.17138532479543,0.039,0.002,0.0175101369682132,1.75671045675456,0.037
"Cd14",0.0727605568432656,0.615092166905544,0.151,0.114,1,0,0.037
"Lamp2",0.123485784657395,0.351778141913807,0.273,0.238,1,0,0.035
"Mprip",0.186334161199402,0.317674767046087,0.281,0.246,1,0,0.035
"Prkab1",0.0218076080500711,0.799416547408473,0.083,0.048,1,0,0.035
"Plin2",0.169435906536265,0.28909670241999,0.294,0.259,1,0,0.035
"Cs",0.161660615247081,0.349383626773425,0.188,0.154,1,0,0.034
"Il1rl1",0.0228328505141098,1.34582580736024,0.076,0.043,1,0,0.033
"Golga5",0.0278148754394457,0.811489379709048,0.076,0.043,1,0,0.033
"Parva",0.0834836114126954,0.485182844311111,0.112,0.079,1,0,0.033
"Igha",8.56857110985251e-05,0.315519730508649,0.844,0.811,0.428685612625921,0.367861091861475,0.0329999999999999
"Micu1",0.0134715853475403,1.0338818010455,0.062,0.03,1,0,0.032
"Gdpd1",0.0575638658292516,0.537924306383084,0.096,0.064,1,0,0.032
"Jaml",0.0625778718766759,0.644839510299596,0.099,0.067,1,0,0.032
"Cd84",0.19160699701997,0.306697227671874,0.24,0.208,1,0,0.032
"Irf8",0.264138837740681,0.146673571298677,0.266,0.235,1,0,0.031
"Tmem94",0.00172086726198388,1.63795312471436,0.044,0.013,1,0,0.031
"Epcam",0.0839964104989138,0.711953706158133,0.104,0.073,1,0,0.031
"Ctnnd1",0.181341613014374,0.324930583048886,0.18,0.149,1,0,0.031
