"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Ccl11",1.18499018606232e-06,0.673867592753302,0.196,0.141,0.0059285059008698,2.22705474352712,0.055
"Uchl1",4.9820741679152e-12,1.13624539680031,0.097,0.042,2.49253170620797e-08,7.60335930854546,0.055
"Serpine2",1.14910877837698e-08,1.03621959413277,0.12,0.069,5.74899121822005e-05,4.24040835475314,0.051
"Stmn2",3.00876688377795e-10,1.25533688343636,0.095,0.045,1.50528607195411e-06,5.82238095677126,0.05
"Sncg",5.43584227509515e-08,0.982783399522575,0.085,0.043,0.00027195518902301,3.56550265024259,0.042
"Cdh2",2.94169562368977e-13,2.09456358036358,0.053,0.012,1.47173032053199e-09,8.83217176271233,0.041
"Vat1",5.15647388699577e-05,0.523379409987973,0.13,0.09,0.257978388566398,0.588416674344832,0.04
"Ndrg4",2.8527164495487e-10,1.63917976111161,0.06,0.021,1.42721403970922e-06,5.84551089072983,0.039
"Defa5",2.57893455640649e-05,0.842198917073,0.11,0.073,0.129024095857017,0.889329175588251,0.037
"Parva",3.00822462244438e-05,0.625980263356752,0.105,0.068,0.150501477860892,0.822459235460972,0.037
"Snap25",5.29301335273114e-09,1.42817348029858,0.055,0.02,2.64809458037139e-05,4.57706650752545,0.035
"Hand2",5.03631123136583e-10,1.75010157518594,0.049,0.015,2.51966650905232e-06,5.5986569365449,0.034
"Calb2",4.95219613264434e-09,1.54702495327513,0.052,0.018,2.47758372516196e-05,4.60597166045058,0.034
"Gfap",1.56812711193763e-08,1.41257662524756,0.056,0.022,7.84533994102396e-05,4.10538823355412,0.034
"Kif5c",1.42634195917022e-12,2.82565260819312,0.039,0.006,7.1359888217286e-09,8.14654583893818,0.033
"Tubb3",2.92858852975211e-08,1.36150244065329,0.055,0.022,0.000146517284143498,3.83411114005134,0.033
"Peg3",1.53359502144058e-07,1.35662021927354,0.062,0.029,0.000767257589226722,3.1150588071086,0.033
"Grik3",1.8989394230917e-13,3.18822268757782,0.035,0.003,9.50039393372778e-10,9.02225838632198,0.032
"Vamp2",0.000214779849297555,0.68113507755299,0.103,0.071,1,0,0.032
"Stom",0.00036173056293154,0.534218542427017,0.116,0.084,1,0,0.032
"Lrp1",0.0088079146211266,0.267469438587561,0.264,0.232,1,0,0.032
"Rgmb",0.00019873621313429,0.625980263356753,0.102,0.07,0.994277274310855,0.00249248691956551,0.032
"Timp1",5.95605297049951e-08,1.73450472013492,0.05,0.019,0.000297981330114091,3.52581094559633,0.031
"Syp",3.2090299190418e-10,2.02856602158934,0.04,0.009,1.60547766849661e-06,5.79439573090479,0.031
"Aplp2",0.000208420171236897,0.681949075501979,0.098,0.067,1,0,0.031
"Ywhag",0.0036105439610511,0.366309669830052,0.158,0.127,1,0,0.031
"Col4a2",0.021009199988378,0.169607009410478,0.27,0.24,1,0,0.03
"Ednrb",1.03417579649707e-05,0.945131273573541,0.066,0.036,0.0517398150987486,1.28617512764376,0.03
"Gpr37l1",1.45693653818138e-12,3.11783335968643,0.034,0.004,7.28905350052147e-09,8.13732886210562,0.03
"Il11",4.08638269189677e-14,5.01829768613551,0.031,0.001,2.04441726075595e-10,9.68943046100803,0.03
"Gap43",4.88613944068883e-07,1.28278276583803,0.054,0.024,0.00244453556217662,2.61180364040271,0.03
"Sorbs1",0.000748635053691843,0.538409042506701,0.11,0.08,1,0,0.03
"Rtn4",0.00864944179166243,0.27492338997973,0.19,0.16,1,0,0.03
"App",0.0158309219724112,0.194219406486782,0.288,0.258,1,0,0.03
"Cavin1",0.00364704191896645,0.441835782811648,0.131,0.102,1,0,0.029
"Mapk8ip2",6.87445068246388e-11,2.634624357766,0.035,0.006,3.43928767643668e-07,6.4635314964479,0.029
"Clec4e",7.58527200929276e-11,2.71017539077318,0.035,0.006,3.79491158624917e-07,6.42079833783211,0.029
"Bex3",0.000154847483182769,0.639954986837352,0.08,0.051,0.774701958363392,0.110865346182057,0.029
"Gfra1",2.53260537392896e-09,1.82693216041969,0.039,0.01,1.26706246857666e-05,4.89720197304919,0.029
"Map1b",8.49627517129405e-05,0.748984217411572,0.076,0.047,0.425068646819842,0.371540927531817,0.029
"Col12a1",0.000876178724327691,0.626976255830476,0.103,0.074,1,0,0.029
"Tnc",0.00245984002900768,0.469094948531956,0.124,0.095,1,0,0.029
"Ndn",1.80445758190583e-05,0.903433729103509,0.06,0.032,0.0902770128227487,1.04442281973229,0.028
"Dbn1",0.000240853905899197,0.739321736432697,0.076,0.048,1,0,0.028
"Ddb1",0.00503436212982828,0.325959424417831,0.124,0.096,1,0,0.028
"Chil3",8.32665534199452e-12,4.11783335968643,0.029,0.002,4.16582566759986e-08,7.38029890846018,0.027
"Fcrls",2.55310448040393e-08,1.73450472013492,0.038,0.011,0.000127731817154608,3.89370090936505,0.027
"Flot2",0.000586722573901231,0.591974379310154,0.077,0.05,1,0,0.027
"Rtn3",0.03558901773569,0.184470552716717,0.235,0.208,1,0,0.027
"Flna",0.0397645665575121,0.187147326155867,0.256,0.229,1,0,0.027
"Kif1b",0.00211875741442568,0.497563990229318,0.1,0.074,1,0,0.026
"Gucy1a1",0.00178160212691411,0.546733512347017,0.092,0.066,1,0,0.026
"Sqstm1",0.00366576906378786,0.4592335395254,0.11,0.084,1,0,0.026
"Kif5a",1.43987564363408e-10,3.11783335968643,0.028,0.003,7.2036978451013e-07,6.14244451169887,0.025
"Ret",6.65073896545458e-05,0.75937938877395,0.054,0.029,0.332736470441693,0.47789959455193,0.025
"Lmna",0.016229876743898,0.346401361842819,0.164,0.139,1,0,0.025
"Col18a1",0.0474305295414428,0.229967589759665,0.239,0.214,1,0,0.025
"Map1lc3a",0.00620206618440496,0.445218176930279,0.097,0.073,1,0,0.024
"Oasl2",0.0195601301661846,0.0830425350320603,0.117,0.093,1,0,0.024
"Mest",9.47130216913566e-12,4.79590526479906,0.025,0.001,4.73849247521857e-08,7.32435980470333,0.024
"Dnm1",3.79028067433642e-05,1.21440661938148,0.049,0.025,0.189627742137051,0.722098125986997,0.024
"Impact",0.00196367545222917,0.53287085896527,0.08,0.056,1,0,0.024
"Mapre2",0.00694532454218956,0.432266918026865,0.102,0.078,1,0,0.024
"Selenof",0.0401131069494821,0.231837988389259,0.167,0.144,1,0,0.023
"Pkm",0.106870767549393,0.124705166998786,0.273,0.25,1,0,0.023
"Atp6v1b2",0.0307339756128196,0.181843450808195,0.139,0.116,1,0,0.023
"Syn1",4.24006524065531e-10,2.98855034274146,0.026,0.003,2.12130463989985e-06,5.67339695810909,0.023
"Eno2",7.78762535140777e-05,1.00235614226649,0.046,0.023,0.389614896330931,0.409364446889294,0.023
"Rab3a",0.000414209446775206,0.848372684693201,0.059,0.036,1,0,0.023
"Prph",2.69738624791222e-06,1.21544415631285,0.035,0.013,0.0134950233983049,1.86982635810666,0.022
"Cryab",0.00105041078786078,0.496344982940156,0.058,0.036,1,0,0.022
"Rbp1",0.00267020226045179,0.637539669130475,0.069,0.047,1,0,0.022
"Adamts1",0.00295698081173831,0.609027130075555,0.068,0.046,1,0,0.022
"Hap1",3.89177225718593e-09,2.81827307782752,0.026,0.004,1.94705366027012e-05,4.71062207927705,0.022
"Kcnt2",5.10003545593316e-07,1.96583026624138,0.031,0.009,0.00255154773860336,2.59319630175148,0.022
"L1cam",0.000302660233325849,0.8067935809418,0.053,0.031,1,0,0.022
"Ereg",0.00106474885701597,0.888554552764739,0.061,0.039,1,0,0.022
"Ifi27",0.00167425165346737,0.760715836336765,0.062,0.04,1,0,0.022
"Thra",0.00370950170908051,0.582007637628073,0.078,0.056,1,0,0.022
"Hoxb5",0.0042677576660703,0.563125074667864,0.079,0.057,1,0,0.022
"Igha",0.0239939393142285,0.686426788000572,0.175,0.153,1,0,0.022
"Cux1",0.0114021191965844,0.327179894626233,0.084,0.063,1,0,0.021
"Spock3",2.45713136498587e-09,3.09707479951963,0.024,0.003,1.22930282190243e-05,4.91034112144099,0.021
"Tgfbr3",0.0124184742383756,0.396297806089827,0.091,0.07,1,0,0.021
"Mib1",0.0382933961721536,0.231291409469711,0.124,0.104,1,0,0.02
"Brd2",0.0635931745443175,0.147127666480465,0.136,0.116,1,0,0.02
"Cd59a",0.000191171493293941,1.15100022362163,0.04,0.02,0.956430980949588,0.0193463645538251,0.02
"Fgf2",0.000425613335078664,0.861196725050784,0.045,0.025,1,0,0.02
"Sap18",0.00197131791152218,0.618118145583781,0.053,0.033,1,0,0.02
"Gnao1",0.00831908685293417,0.437713625924931,0.074,0.054,1,0,0.02
"Hk1",0.0123085296664397,0.405590194931452,0.077,0.057,1,0,0.02
"Fcgr3",0.0898587001901466,0.252097950112968,0.192,0.173,1,0,0.019
"Sox10",1.69592574615947e-08,3.08868701402691,0.021,0.002,8.48471650803581e-05,4.07136266378267,0.019
"Creg1",0.00122313325190199,0.702795860407583,0.05,0.031,1,0,0.019
"Il33",0.00473671932999298,1.04234316010216,0.065,0.046,1,0,0.019
"Atp6v0a1",0.0074087333481383,0.451689102709918,0.065,0.046,1,0,0.019
"Psmd6",0.00828951459386141,0.586677302661065,0.067,0.048,1,0,0.019
"Skp1a",0.0433671719225934,0.332846250657277,0.111,0.092,1,0,0.019
"Gabbr1",0.0472714948679458,0.27455886337388,0.115,0.096,1,0,0.019
"Cemip",8.8703554649943e-10,4.38086776552022,0.02,0.001,4.43783883913665e-06,5.35282847329475,0.019
"Ngfr",3.28456200166694e-05,1.17030077958056,0.03,0.011,0.164326636943397,0.784292032792042,0.019
"Cadm3",5.27601457266517e-05,1.34187363390436,0.031,0.012,0.263959009070439,0.578463510693489,0.019
"Mapt",0.000888274957280239,0.820996245761895,0.045,0.026,1,0,0.019
"Mapk8ip1",0.00134306500745704,0.858915062324866,0.046,0.027,1,0,0.019
"Golga5",0.000704387832075611,0.83693253305912,0.044,0.025,1,0,0.019
"Ccn2",0.00862240940954028,0.601686051358558,0.071,0.052,1,0,0.019
