"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Litaf",0.00533747905131746,1.10373893465533,0.244,0.131,1,0,0.113
"Il22",0.000149664132205018,2.84070452882154,0.137,0.029,0.748769653421703,0.125651765256284,0.108
"Rnh1",0.024034103494627,0.782360542590735,0.237,0.141,1,0,0.096
"Ndufs1",0.00814033045329893,1.04539494842453,0.153,0.063,1,0,0.09
"Shc1",0.0115900570367176,1.11250914428307,0.16,0.073,1,0,0.087
"Ramp3",0.000357601315099484,2.82300252708808,0.099,0.015,1,0,0.084
"Mybbp1a",0.00358159735318458,1.73108003764704,0.122,0.039,1,0,0.083
"Memo1",0.0193827397930918,0.942584142840753,0.16,0.078,1,0,0.082
"Mlec",0.201514300784113,0.147186595915811,0.344,0.262,1,0,0.082
"Ern1",0.0651454123196785,0.449544131560636,0.221,0.141,1,0,0.08
"Epcam",0.0426200866991926,0.728365652950005,0.206,0.126,1,0,0.08
"Mprip",0.107007519556789,0.456680312842265,0.313,0.233,1,0,0.08
"Cdk5rap2",0.0138508899543015,1.09365011703175,0.137,0.058,1,0,0.079
"Sdhc",0.0463640908519403,0.653077525645768,0.191,0.112,1,0,0.079
"Atg5",0.0142659103787945,1.12256280894699,0.13,0.053,1,0,0.077
"Stom",0.019210981376043,1.40796502780924,0.13,0.058,1,0,0.072
"Snx4",0.0140198494249981,1.33114943075841,0.115,0.044,1,0,0.071
"Ffar2",0.0145299170864143,1.27456590239204,0.115,0.044,1,0,0.071
"Mmp3",0.000325333349740723,3.23804002636692,0.076,0.005,1,0,0.071
"Arg1",0.00645513979289382,1.65307752564577,0.099,0.029,1,0,0.07
"Ctr9",0.0241581202965321,1.12256280894699,0.122,0.053,1,0,0.069
"Tnfrsf9",0.00607322233829775,1.75261319919668,0.092,0.024,1,0,0.068
"Ets2",0.0134289836397476,1.50107443220072,0.107,0.039,1,0,0.068
"Comt",0.0802890649832766,0.764108838034512,0.183,0.117,1,0,0.066
"Mast3",0.0972963990961212,0.542046213257025,0.183,0.117,1,0,0.066
"Plp2",0.107290962809386,0.600610105751633,0.191,0.126,1,0,0.065
"Cyb5r3",0.0962029792247016,0.756171018609872,0.176,0.112,1,0,0.064
"Zdhhc6",0.0253826215222434,1.23804002636692,0.107,0.044,1,0,0.063
"Khsrp",0.169107479951104,0.43626613657262,0.252,0.189,1,0,0.063
"Sap130",0.0541558380491542,0.994114443480835,0.13,0.068,1,0,0.062
"Arid2",0.0962969601966534,0.77337175936348,0.168,0.107,1,0,0.061
"Elavl1",0.231402993022891,0.24782104715951,0.26,0.199,1,0,0.061
"Fgf2",0.0030361326016248,2.39004311981197,0.069,0.01,1,0,0.059
"Cenpf",0.188131094918598,0.305154222225461,0.214,0.155,1,0,0.059
"Ipmk",0.025047942356483,1.46043244770337,0.092,0.034,1,0,0.058
"Itsn1",0.025047942356483,1.46043244770337,0.092,0.034,1,0,0.058
"Tgm2",0.173917768513343,0.448719027139582,0.252,0.194,1,0,0.058
"Ctbp1",0.213711468055821,0.377443083032341,0.252,0.194,1,0,0.058
"Rock2",0.162111247878951,0.51105852077334,0.198,0.141,1,0,0.057
"Il4ra",0.176938314585082,0.390043119811974,0.198,0.141,1,0,0.057
"Tnxb",0.0106624804506914,1.91611193147956,0.076,0.019,1,0,0.057
"Pde3b",0.145313975331287,0.537600308225832,0.168,0.112,1,0,0.056
"Map3k7",0.130070172122973,0.585963329787231,0.153,0.097,1,0,0.056
"Dicer1",0.0863904090897163,0.916111931479562,0.122,0.068,1,0,0.054
"Col6a3",0.139533714441855,0.823002527088081,0.16,0.107,1,0,0.053
"Slc12a2",0.0469423004003563,0.875469946982216,0.092,0.039,1,0,0.053
"Hnf4a",0.048853658463413,0.653077525645768,0.092,0.039,1,0,0.053
"Cdkn2d",0.239300512043304,0.29050744626106,0.198,0.146,1,0,0.052
"Calcrl",0.100656236363375,0.740540366896107,0.115,0.063,1,0,0.052
"Gfpt1",0.100656236363375,0.740540366896107,0.115,0.063,1,0,0.052
"Ahr",0.100905014433244,0.653077525645768,0.115,0.063,1,0,0.052
"Nfia",0.0262948691658401,0.942584142840754,0.076,0.024,1,0,0.052
"Calu",0.155011055866471,0.752613199196682,0.183,0.131,1,0,0.052
"Cers5",0.185468712456492,0.401538758649804,0.153,0.102,1,0,0.051
"Sept6",0.250019677180852,0.321871617170395,0.221,0.17,1,0,0.051
"Il33",0.142553932373703,0.784322058924021,0.137,0.087,1,0,0.05
"Col6a2",0.249287611343021,0.27868201086427,0.191,0.141,1,0,0.05
"Exosc9",0.0472560222610868,1.23804002636692,0.084,0.034,1,0,0.05
"Prpf31",0.0472560222610868,1.23804002636692,0.084,0.034,1,0,0.05
"Sept5",0.0478378605813966,1.18359224234455,0.084,0.034,1,0,0.05
"Plekha5",0.0686375790888926,1.19364590700847,0.099,0.049,1,0,0.05
"Got2",0.280240878309291,0.285345741145281,0.229,0.18,1,0,0.049
"Gzmb",0.0694849891410933,1.60416792516482,0.092,0.044,1,0,0.048
"Apc",0.079578128071123,0.768554743065704,0.092,0.044,1,0,0.048
"Mmp14",0.167830370104395,0.720191721504305,0.145,0.097,1,0,0.048
"Arrb1",0.181892028415773,0.58268819775437,0.145,0.097,1,0,0.048
"Atp2a3",0.329353684448661,0.196699230986025,0.275,0.228,1,0,0.047
