"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Sqstm1",0.987085058380714,0.0304726988353448,0.139,0.139,1,0,0
"Mtx1",0.987397174281332,0.00182075336112941,0.015,0.015,1,0,0
"Psmd6",0.994546885640315,0.0285944743497644,0.072,0.072,1,0,0
"Nyap1",0.998121269058832,-0.0249842755921179,0.009,0.009,1,0,0
"Keap1",0.9981597756385,-0.00663612636846445,0.041,0.041,1,0,0
"Ehmt1",0.998485470267887,0.000308230027528111,0.013,0.013,1,0,0
"Sema6d",0.999818561645707,0.0276724240267505,0.033,0.033,1,0,0
"Abca13",1,0.046908642889667,0,0,1,0,0
"Abca4",1,0.046908642889667,0,0,1,0,0
"Abcb4",1,0.046908642889667,0,0,1,0,0
"Acan",1,0.046908642889667,0,0,1,0,0
"Ackr2",1,0.046908642889667,0,0,1,0,0
"Acr",1,0.046908642889667,0,0,1,0,0
"Actl6b",1,0.046908642889667,0,0,1,0,0
"Adad1",1,0.046908642889667,0,0,1,0,0
"Adad2",1,0.046908642889667,0,0,1,0,0
"Adam18",1,0.046908642889667,0,0,1,0,0
"Adam28",1,0.046908642889667,0,0,1,0,0
"Adcy8",1,0.046908642889667,0,0,1,0,0
"Adgrf1",1,0.046908642889667,0,0,1,0,0
"Adgrv1",1,0.046908642889667,0,0,1,0,0
"Adprhl1",1,0.046908642889667,0,0,1,0,0
"Afp",1,0.046908642889667,0,0,1,0,0
"Agrp",1,0.046908642889667,0,0,1,0,0
"Agtr2",1,0.046908642889667,0,0,1,0,0
"Agxt2",1,0.046908642889667,0,0,1,0,0
"Aicda",1,0.046908642889667,0,0,1,0,0
"Aire",1,0.046908642889667,0,0,1,0,0
"Aldh3a1",1,0.046908642889667,0,0,1,0,0
"Alox12b",1,0.046908642889667,0,0,1,0,0
"Alox12e",1,0.046908642889667,0,0,1,0,0
"Alx1",1,0.046908642889667,0,0,1,0,0
"Alx4",1,0.046908642889667,0,0,1,0,0
"Amelx",1,0.046908642889667,0,0,1,0,0
"Amh",1,0.046908642889667,0,0,1,0,0
"Amhr2",1,0.046908642889667,0,0,1,0,0
"Angptl3",1,0.046908642889667,0,0,1,0,0
"Angptl8",1,0.046908642889667,0,0,1,0,0
"Apcs",1,0.046908642889667,0,0,1,0,0
"Aqp2",1,0.046908642889667,0,0,1,0,0
"Aqp5",1,0.046908642889667,0,0,1,0,0
"Aqp6",1,0.046908642889667,0,0,1,0,0
"Armc12",1,0.046908642889667,0,0,1,0,0
"Arr3",1,0.046908642889667,0,0,1,0,0
"Asb9",1,0.046908642889667,0,0,1,0,0
"Asic1",1,0.046908642889667,0,0,1,0,0
"Asic3",1,0.046908642889667,0,0,1,0,0
"Atoh7",1,0.046908642889667,0,0,1,0,0
"Atp4a",1,0.046908642889667,0,0,1,0,0
"Atp4b",1,0.046908642889667,0,0,1,0,0
"Atp7b",1,0.046908642889667,0,0,1,0,0
"Avpr1b",1,0.046908642889667,0,0,1,0,0
"Avpr2",1,0.046908642889667,0,0,1,0,0
"Azin2",1,0.046908642889667,0,0,1,0,0
"Barhl1",1,0.046908642889667,0,0,1,0,0
"Barhl2",1,0.046908642889667,0,0,1,0,0
"Barx1",1,0.046908642889667,0,0,1,0,0
"Bbox1",1,0.046908642889667,0,0,1,0,0
"Bhmt",1,0.046908642889667,0,0,1,0,0
"Bmp10",1,0.046908642889667,0,0,1,0,0
"Bmp15",1,0.046908642889667,0,0,1,0,0
"Bpifb1",1,0.046908642889667,0,0,1,0,0
"Brs3",1,0.046908642889667,0,0,1,0,0
"Bsnd",1,0.046908642889667,0,0,1,0,0
"Bsx",1,0.046908642889667,0,0,1,0,0
"C2cd6",1,0.046908642889667,0,0,1,0,0
"Cacng1",1,0.046908642889667,0,0,1,0,0
"Cacng2",1,0.046908642889667,0,0,1,0,0
"Cacng3",1,0.046908642889667,0,0,1,0,0
"Calb1",1,0.046908642889667,0,0,1,0,0
"Calcr",1,0.046908642889667,0,0,1,0,0
"Camkv",1,0.046908642889667,0,0,1,0,0
"Car7",1,0.046908642889667,0,0,1,0,0
"Casq1",1,0.046908642889667,0,0,1,0,0
"Casr",1,0.046908642889667,0,0,1,0,0
"Cblif",1,0.046908642889667,0,0,1,0,0
"Ccdc184",1,0.046908642889667,0,0,1,0,0
"Cckbr",1,0.046908642889667,0,0,1,0,0
"Ccl1",1,0.046908642889667,0,0,1,0,0
"Ccl20",1,0.046908642889667,0,0,1,0,0
"Ccna1",1,0.046908642889667,0,0,1,0,0
"Ccnb3",1,0.046908642889667,0,0,1,0,0
"Cd207",1,0.046908642889667,0,0,1,0,0
"Cd5l",1,0.046908642889667,0,0,1,0,0
"Cd70",1,0.046908642889667,0,0,1,0,0
"Cdh10",1,0.046908642889667,0,0,1,0,0
"Cdh12",1,0.046908642889667,0,0,1,0,0
"Cdh20",1,0.046908642889667,0,0,1,0,0
"Cdh23",1,0.046908642889667,0,0,1,0,0
"Cdh7",1,0.046908642889667,0,0,1,0,0
"Cdh8",1,0.046908642889667,0,0,1,0,0
"Cdh9",1,0.046908642889667,0,0,1,0,0
"Cer1",1,0.046908642889667,0,0,1,0,0
"Cfap299",1,0.046908642889667,0,0,1,0,0
"Cfap44",1,0.046908642889667,0,0,1,0,0
"Cfap53",1,0.046908642889667,0,0,1,0,0
"Cfap57",1,0.046908642889667,0,0,1,0,0
"Cfap61",1,0.046908642889667,0,0,1,0,0
"Cfap65",1,0.046908642889667,0,0,1,0,0
"Cfap69",1,0.046908642889667,0,0,1,0,0
"Cfc1",1,0.046908642889667,0,0,1,0,0
"Cga",1,0.046908642889667,0,0,1,0,0
"Chia1",1,0.046908642889667,0,0,1,0,0
"Chil4",1,0.046908642889667,0,0,1,0,0
"Chrm5",1,0.046908642889667,0,0,1,0,0
"Chrna1",1,0.046908642889667,0,0,1,0,0
"Chrna2",1,0.046908642889667,0,0,1,0,0
"Chrna4",1,0.046908642889667,0,0,1,0,0
"Chrna6",1,0.046908642889667,0,0,1,0,0
"Chrnb3",1,0.046908642889667,0,0,1,0,0
"Chrng",1,0.046908642889667,0,0,1,0,0
"Cited1",1,0.046908642889667,0,0,1,0,0
"Cklf",1,0.046908642889667,0,0,1,0,0
"Clcnka",1,0.046908642889667,0,0,1,0,0
"Clcnkb",1,0.046908642889667,0,0,1,0,0
"Cldn16",1,0.046908642889667,0,0,1,0,0
"Cldn17",1,0.046908642889667,0,0,1,0,0
"Cldn19",1,0.046908642889667,0,0,1,0,0
"Cldn6",1,0.046908642889667,0,0,1,0,0
"Cldn9",1,0.046908642889667,0,0,1,0,0
"Clic3",1,0.046908642889667,0,0,1,0,0
"Cndp1",1,0.046908642889667,0,0,1,0,0
"Cnga2",1,0.046908642889667,0,0,1,0,0
"Cngb3",1,0.046908642889667,0,0,1,0,0
"Cnmd",1,0.046908642889667,0,0,1,0,0
"Cnpy1",1,0.046908642889667,0,0,1,0,0
"Cntn2",1,0.046908642889667,0,0,1,0,0
"Cntnap3",1,0.046908642889667,0,0,1,0,0
"Cntnap4",1,0.046908642889667,0,0,1,0,0
"Cntnap5b",1,0.046908642889667,0,0,1,0,0
"Col10a1",1,0.046908642889667,0,0,1,0,0
"Col26a1",1,0.046908642889667,0,0,1,0,0
"Col4a3",1,0.046908642889667,0,0,1,0,0
"Cort",1,0.046908642889667,0,0,1,0,0
"Cox7a1",1,0.046908642889667,0,0,1,0,0
