"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Hist2h2bb",1.0243502695223e-194,0.736302599231955,0.248,0.165,5.12482439842009e-191,190.290321011073,0.083
"Sod1",1.18194732435317e-143,0.408239048882986,0.354,0.271,5.91328246373893e-140,139.228171375269,0.083
"Cldn2",1.99615442309199e-146,0.457818469544483,0.326,0.246,9.98676057872922e-143,142.000575361717,0.08
"Ccnd2",8.52211594534471e-146,0.517316087291434,0.251,0.177,4.26361460745596e-142,141.370222058536,0.074
"Odc1",2.40542701950353e-101,0.362174431794138,0.333,0.265,1.20343513785761e-97,96.9195773121439,0.068
"H2afz",1.71363039348117e-91,0.361812880130277,0.28,0.217,8.57329285858629e-88,87.0668523407786,0.063
"Gpx2",9.81983123379837e-108,0.526833394793159,0.247,0.185,4.91286156626932e-104,103.308665473165,0.062
"Pdia3",1.45146285256776e-58,0.156376638442452,0.599,0.537,7.26166865139653e-55,54.1389635717483,0.0619999999999999
"Ptbp1",8.99236049964854e-68,0.241562588832962,0.386,0.327,4.49887795797417e-64,63.3468957878741,0.059
"Hnrnpa1",7.22214807461057e-59,0.169155548872465,0.583,0.525,3.61324068172767e-55,54.4421031086604,0.0579999999999999
"Ccnd1",9.51245600742143e-118,0.607847158106746,0.179,0.122,4.75908174051294e-114,113.32247683583,0.057
"P4hb",1.1835788577659e-48,0.161716032350081,0.449,0.392,5.92144502540281e-45,44.2275722983482,0.057
"Pgk1",1.67414264733588e-58,0.207263956551796,0.329,0.273,8.37573566462141e-55,54.0769770372996,0.056
"Hspd1",2.68053864258246e-58,0.21867384375644,0.444,0.389,1.341073482884e-54,53.872547424731,0.055
"Mki67",6.86578717887691e-116,0.626555409892503,0.152,0.099,3.43495332559212e-112,111.464079159791,0.053
"Caprin1",4.3851595484655e-44,0.159098679705507,0.434,0.381,2.19389532209729e-40,39.6587840978735,0.053
"Srsf1",1.40239479941642e-61,0.268757719150293,0.287,0.234,7.01618118148035e-58,57.1538992045478,0.053
"Hspa9",6.05634450379312e-56,0.240173587514166,0.313,0.261,3.0299891552477e-52,51.5185589258952,0.052
"Cbx3",1.19120165944724e-50,0.213497675095873,0.341,0.29,5.95958190221456e-47,46.2247842073622,0.051
"Pkm",2.84555107492241e-69,0.346512257498575,0.233,0.182,1.42362920278368e-65,64.8466031119314,0.051
"Atp5o",6.86235100999837e-44,0.163904875138752,0.356,0.305,3.43323421030218e-40,39.4642965686184,0.051
"Lamp1",7.08135248647103e-47,0.21302878646152,0.31,0.261,3.54280064898146e-43,42.4506532844388,0.049
"Hist1h2bc",1.51313417527791e-62,0.359425569287622,0.238,0.19,7.57021027891539e-59,58.1208920568666,0.048
"Vdac1",1.0573113012599e-48,0.232537830906086,0.297,0.249,5.2897284402033e-45,44.2765666228511,0.048
"Ppp1r1b",3.03180933292712e-51,0.24939192885066,0.286,0.239,1.51681420926344e-47,46.8190676115884,0.047
"B4galnt2",2.08273200882937e-44,0.226095875915194,0.37,0.323,1.04199082401733e-40,39.982136105505,0.047
